,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Температура размягчения, [°С]"
0,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,24.0,1.0,138.0,75.0,75.0
1,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,23.0,1.0,138.0,75.0,72.0
2,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,22.0,1.0,138.0,75.0,77.0
3,0.3,87.8,8.2,3.6,0.1,79.0,0.0,22.0,1.0,138.0,75.0,73.0
4,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,21.0,1.0,138.0,75.0,70.0
5,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,20.0,1.0,138.0,75.0,73.0
6,0.0,89.3,7.0,3.6,0.1,75.0,4.0,19.0,0.0,138.0,75.0,73.0
7,0.0,88.3,8.0,3.6,0.1,75.0,4.0,19.0,0.0,138.0,75.0,73.0
8,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,19.0,1.0,138.0,75.0,75.0
9,0.3,89.0,7.0,3.6,0.1,79.0,0.0,19.0,1.0,138.0,75.0,75.0
10,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,18.0,1.0,138.0,75.0,74.0
11,0.3,89.056,6.901,3.701,0.042,87.0,3.0,17.0,1.0,78.0,75.0,70.0
12,0.0,90.85,5.501,3.549,0.1,80.0,4.0,17.0,1.0,135.0,75.0,76.0
13,0.0,91.512,4.864,3.524,0.1,86.0,4.0,17.0,1.0,135.0,75.0,75.0
14,0.0,91.542,4.806,3.552,0.1,82.0,4.0,16.0,0.0,130.0,75.0,73.0
15,0.0,90.248,5.900000000000001,3.752,0.1,78.0,4.0,16.0,1.0,139.0,75.0,72.0
16,0.3,89.842,5.999999999999999,3.75,0.108,75.0,2.0,16.0,0.0,135.0,75.0,71.0
17,0.3,90.942,4.9,3.75,0.108,71.0,2.0,16.0,0.0,135.0,75.0,73.0
18,0.3,89.642,6.2,3.75,0.108,75.0,2.0,16.0,0.0,135.0,75.0,73.0
19,0.3,89.742,6.099999999999999,3.75,0.108,70.0,2.0,16.0,1.0,137.0,75.0,74.0
20,0.0,92.25,3.9000000000000004,3.75,0.1,99.0,4.0,16.0,1.0,130.0,75.0,73.0
21,0.3,90.242,5.6,3.75,0.108,73.0,0.0,16.0,1.0,132.0,75.0,76.0
22,0.0,89.95,6.2,3.75,0.1,83.0,4.0,16.0,1.0,139.0,75.0,74.6
23,0.0,91.852,4.499,3.549,0.1,83.0,4.0,16.0,0.0,128.0,75.0,72.0
24,0.0,92.45,3.9000000000000004,3.55,0.1,79.0,4.0,16.0,0.0,132.0,75.0,76.0
25,0.301,91.11899999999999,4.922,3.616,0.042,73.0,3.0,16.0,1.0,132.0,75.0,71.5
26,0.295,91.103,5.027,3.534,0.04100000000000001,73.0,3.0,16.0,1.0,132.0,75.0,71.5
27,0.0,89.402,6.799000000000001,3.699,0.1,71.0,4.0,16.0,1.0,140.0,75.0,72.0
28,0.0,92.052,4.299,3.549,0.1,87.0,4.0,16.0,0.0,130.0,75.0,79.0
29,0.0,92.21599999999998,4.093000000000001,3.591,0.1,92.0,4.0,16.0,1.0,133.0,75.0,71.0
30,0.0,91.397,4.93,3.572,0.101,81.0,4.0,16.0,0.0,130.0,75.0,73.0
31,0.3,89.758,6.2,3.7,0.042,71.0,2.0,16.0,1.0,133.0,75.0,74.0
32,0.3,90.842,5.0,3.75,0.108,86.0,2.0,16.0,1.0,133.0,75.0,72.0
33,0.3,89.391,6.567,3.7,0.042,67.0,3.0,16.0,1.0,142.0,75.0,71.0
34,0.311,91.65199999999999,4.04,3.8849999999999993,0.112,79.0,3.0,16.0,1.0,118.0,75.0,75.0
35,0.293,91.142,5.206,3.27,0.08899999999999998,71.99999999999999,0.0,16.0,1.0,103.00000000000001,75.0,73.0
36,0.3,88.925,6.917,3.75,0.108,71.0,0.0,16.0,1.0,105.0,75.0,74.0
37,0.3,89.944,5.899,3.749,0.108,79.0,0.0,16.0,1.0,139.0,75.0,74.0
38,0.3,89.842,5.999999999999999,3.75,0.108,75.0,3.0,16.0,1.0,139.0,75.0,76.0
39,0.0,90.2,5.999999999999999,3.7,0.1,79.0,4.0,16.0,1.0,139.0,75.0,77.0
40,0.3,88.76099999999998,7.199,3.699,0.04100000000000001,68.0,3.0,16.0,1.0,142.0,75.0,72.0
41,0.3,89.742,6.099999999999999,3.75,0.108,71.99999999999999,2.0,16.0,1.0,134.0,75.0,75.0
42,0.3,89.942,5.900000000000001,3.75,0.108,71.0,2.0,16.0,1.0,130.0,75.0,79.0
43,0.3,88.44199999999998,7.4,3.75,0.108,63.0,2.0,16.0,0.0,137.0,75.0,72.0
44,0.3,90.142,5.7,3.75,0.108,73.0,2.0,16.0,0.0,130.0,75.0,74.0
45,0.3,91.642,4.2,3.75,0.108,74.0,2.0,16.0,0.0,130.0,75.0,71.0
46,0.3,91.642,4.2,3.75,0.108,73.0,2.0,16.0,1.0,130.0,75.0,72.0
47,0.3,88.743,7.099,3.75,0.108,71.0,3.0,16.0,1.0,142.0,75.0,74.0
48,0.3,89.642,6.2,3.75,0.108,66.0,2.0,16.0,1.0,130.0,75.0,71.0
49,0.3,91.442,4.4,3.75,0.108,79.0,2.0,16.0,1.0,130.0,75.0,74.0
50,0.294,92.526,3.557,3.533,0.09,73.0,0.0,16.0,1.0,125.0,75.0,74.0
51,0.303,90.607,5.348,3.633,0.109,77.0,0.0,16.0,0.0,130.0,75.0,75.0
52,0.3,88.64,7.201,3.751,0.108,81.0,3.0,16.0,1.0,142.0,75.0,73.0
53,0.0,89.95,6.2,3.75,0.1,73.0,4.0,16.0,1.0,139.0,75.0,77.0
54,0.3,89.6,6.3,3.7,0.1,81.0,3.0,16.0,3.0,184.99999999999997,75.0,76.0
55,0.3,89.6,6.3,3.7,0.1,74.0,3.0,16.0,0.0,137.0,75.0,77.0
