id,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
0,0.0,90.4,5.9,3.6,0.1,79,4,0,0,138,75,33.0,71.0,21.0,74.4,73.0
1,0.3,90.1,5.9,3.6,0.1,79,0,11,1,138,75,32.0,71.0,16.0,72.8,75.0
2,0.3,90.1,5.9,3.6,0.1,79,0,18,1,138,75,35.0,76.0,27.0,74.0,78.0
3,0.3,90.1,5.9,3.6,0.1,79,0,19,1,138,75,30.0,65.0,13.0,75.0,75.0
4,0.3,89.0,7.0,3.6,0.1,79,0,19,1,138,75,32.0,66.0,14.0,75.0,77.0
5,0.3,90.1,5.9,3.6,0.1,79,0,20,1,138,75,36.0,87.0,41.0,73.0,80.0
6,0.3,90.1,5.9,3.6,0.1,79,0,21,1,138,75,35.0,75.0,29.0,70.0,72.0
7,0.3,90.1,5.9,3.6,0.1,79,0,22,1,138,75,23.0,63.0,18.0,77.0,74.0
8,0.3,87.8,8.2,3.6,0.1,79,0,22,1,138,75,33.0,71.0,23.0,73.0,72.0
9,0.3,90.1,5.9,3.6,0.1,79,0,23,1,138,75,31.0,71.0,18.0,72.0,75.0
10,0.3,90.1,5.9,3.6,0.1,79,0,24,1,138,75,26.0,52.0,11.0,75.0,68.0
11,0.3,90.1,5.9,3.6,0.1,79,0,1,1,138,75,26.0,55.0,11.0,76.0,71.0
12,0.3,90.1,5.9,3.6,0.1,79,0,2,1,138,75,34.0,69.0,17.0,73.0,75.0
13,0.0,90.0,6.3,3.6,0.1,75,4,3,0,138,75,26.0,64.0,19.0,74.0,65.0
14,0.0,88.0,8.3,3.6,0.1,75,4,3,0,138,75,28.0,74.0,19.0,71.0,72.0
15,0.0,90.0,6.3,3.6,0.1,75,4,4,0,138,75,34.0,75.0,30.0,69.0,71.0
16,0.0,90.0,6.3,3.6,0.1,75,4,5,0,138,75,48.0,115.0,67.0,65.0,86.0
17,0.0,93.3,3.0,3.6,0.1,75,4,5,0,138,75,32.0,76.0,27.0,69.0,74.0
18,0.0,90.0,6.3,3.6,0.1,75,4,6,0,138,75,46.0,113.0,49.0,62.0,82.0
19,0.0,93.3,3.0,3.6,0.1,75,4,6,0,105,75,30.0,73.0,26.0,70.0,73.0
20,0.0,90.0,6.3,3.6,0.1,75,4,7,0,138,75,26.0,67.0,17.0,74.0,70.0
21,0.0,88.0,8.3,3.6,0.1,75,4,7,0,138,75,32.0,82.0,35.0,73.0,73.0
22,0.0,90.0,6.3,3.6,0.1,75,4,8,0,138,75,32.0,78.0,25.0,71.0,76.0
23,0.0,88.0,8.3,3.6,0.1,75,4,8,0,138,75,35.0,84.0,33.0,71.0,75.0
24,0.0,90.0,6.3,3.6,0.1,75,4,9,0,138,75,33.0,75.0,21.0,75.0,79.0
